,query,engine,batch,instance,query_class,status,timeout,nb_results,nb_distinct_sources,relevant_sources_selectivity,tpwss,source_selection_time,planning_time,ask,exec_time,http_req,data_transfer,sts,exec_time_only
21049,q11,splendid,2,0,SD,error_runtime,120000.0,,1.0,0.0166666666666666,2.0,,,0.0,,270.0,0.011876999999999999,error_runtime,
21050,q11,splendid,2,0,SD,error_runtime,120000.0,,1.0,0.0166666666666666,2.0,,,0.0,,270.0,0.011876999999999999,error_runtime,
21051,q11,semagrow,2,0,SD,success,,9.0,1.0,0.0166666666666666,2.0,788.0,39.0,180.0,893.0,181.0,0.060562,success,105.0
21052,q11,semagrow,2,0,SD,success,,9.0,1.0,0.0166666666666666,2.0,913.0,32.0,180.0,1018.0,181.0,0.060562,success,105.0
21053,q11,semagrow,2,0,SD,success,,9.0,1.0,0.0166666666666666,2.0,855.0,29.0,180.0,953.0,181.0,0.060562,success,98.0
21054,q11,anapsid,2,0,SD,success,,9.0,1.0,0.0166666666666666,2.0,0.5475088119506836,0.4554634094238281,180.0,0.4870932102203369,183.0,0.025681,success,-0.06041560173034666
21055,q11,anapsid,2,0,SD,success,,9.0,1.0,0.0166666666666666,2.0,0.46785554885864256,0.3764152526855469,180.0,0.4168908596038818,183.0,0.025681,success,-0.050964689254760775
21056,q11,anapsid,2,0,SD,success,,9.0,1.0,0.0166666666666666,2.0,0.47456965446472166,0.3830690383911133,180.0,0.4164161682128906,183.0,0.025681,success,-0.05815348625183103
21057,q11,fedup_h0,2,0,SD,success,,18.0,1.0,0.0166666666666666,3.0,0.1,,120.0,5.0,122.0,0.081066,success,4.9
21058,q11,fedup_h0,2,0,SD,success,,18.0,1.0,0.0166666666666666,3.0,0.1,,120.0,4.0,122.0,0.081066,success,3.9
21059,q11,fedup_h0,2,0,SD,success,,18.0,1.0,0.0166666666666666,3.0,1.0,,120.0,5.0,122.0,0.081066,success,4.0
21060,q11,rsa,2,0,SD,success,,9.0,1.0,0.0166666666666666,2.0,,,0.0,32.25445747375488,1.0,0.0029259999999999998,success,
21061,q11,rsa,2,0,SD,success,,9.0,1.0,0.0166666666666666,2.0,,,0.0,34.44933891296387,1.0,0.0029259999999999998,success,
21062,q11,rsa,2,0,SD,success,,9.0,1.0,0.0166666666666666,2.0,,,0.0,29.388427734375,1.0,0.0029259999999999998,success,
21063,q11,fedx,3,0,SD,success,,9.0,1.0,0.0125,2.0,651.0,0.0,240.0,775.0,241.0,0.078594,success,124.0
21064,q11,fedx,3,0,SD,success,,9.0,1.0,0.0125,2.0,646.0,0.0,240.0,775.0,241.0,0.078594,success,129.0
21065,q11,fedx,3,0,SD,success,,9.0,1.0,0.0125,2.0,632.0,0.0,240.0,754.0,241.0,0.078594,success,122.0
21066,q11,costfed,3,0,SD,success,,9.0,1.0,0.0125,1.0,498.0,500.0,400.0,509.0,401.0,0.17862999999999998,success,11.0
21067,q11,costfed,3,0,SD,success,,9.0,1.0,0.0125,1.0,429.0,430.0,400.0,437.0,401.0,0.17862999999999998,success,8.0
21068,q11,costfed,3,0,SD,success,,9.0,1.0,0.0125,1.0,481.0,482.0,400.0,491.0,401.0,0.17862999999999998,success,10.0
21069,q11,splendid,3,0,SD,error_runtime,120000.0,,1.0,0.0125,2.0,,,0.0,,360.0,0.015837,error_runtime,
21070,q11,splendid,3,0,SD,error_runtime,120000.0,,1.0,0.0125,2.0,,,0.0,,360.0,0.015837,error_runtime,
21071,q11,splendid,3,0,SD,error_runtime,120000.0,,1.0,0.0125,2.0,,,0.0,,360.0,0.015837,error_runtime,
21072,q11,semagrow,3,0,SD,success,,9.0,1.0,0.0125,2.0,894.0,35.0,240.0,1007.0,241.0,0.078762,success,113.0
